Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,Change_1D_pct,Change_5D_pct
2024-01-01,10138.46937099072,10138.46937099072,10010.722099635568,10078.0009765625,411724,,,,,,,,,,
2024-01-02,10078.001043416072,10089.173833356685,9948.391320534683,9994.1591796875,776837,,,,,,,,,-0.831928842535179,
2024-01-03,9996.364014816976,10006.164371694247,9864.05919697381,9876.45703125,521046,,,,,,,,,-1.1777093632521107,
2024-01-04,9898.359794638418,9917.960507103047,9786.194526146362,9815.3505859375,711733,,,,,,,,,-0.6187081573802544,
2024-01-05,9810.794734274685,9873.85964855839,9770.955900360012,9817.017578125,673131,,,,,,,,,0.016983521606328544,
2024-01-08,9805.257964791048,9926.733590960492,9714.017016630813,9748.1220703125,600153,,,,,,,,,-0.7017967245573464,-3.273257335628066
2024-01-09,9775.856215363016,9842.156014025986,9692.55317994388,9823.9755859375,666469,,,,,,,,,0.7781346507345077,-1.7028305302149604
2024-01-10,9849.309934541448,9850.093771685031,9751.3551753119,9810.353515625,481699,,,,,,,,,-0.13866148376833198,-0.6693039357721364
2024-01-11,9824.95585183534,9921.979389479007,9800.357337744064,9811.2353515625,1024815,,,,,,,,,0.008988829363754114,-0.04192651438141848
2024-01-12,9824.858096551572,9844.410000585867,9737.58610706725,9766.693359375,850190,,,,,,,,,-0.45398964137993714,-0.5126222740207353
2024-01-15,9785.754061269035,9897.18431149926,9749.395119714558,9885.5224609375,463380,,,,,,,,,1.2166768955476304,1.4095062580663287
2024-01-16,9885.473512836672,10035.566375190534,9859.159935001637,9980.2431640625,536823,,,,,,,,,0.9581759942308254,1.5906755544943474
2024-01-17,9921.880799277877,9958.925954981683,9796.877445062097,9851.0244140625,610250,,,,,,,,,-1.2947455074571623,0.41457118107643964
2024-01-18,9747.483835632574,9849.358737570215,9543.24497097576,9726.3642578125,614860,,,33.66560094499738,,,,,,-1.2654537336446503,-0.8650398314671293
2024-01-19,9761.155721034129,9850.976377136963,9750.424138542056,9837.3046875,377018,,,43.78530780853782,,,,,,1.1406156169648796,0.7229809058888925
2024-01-23,9665.111637290742,9773.895595082193,9635.808188356528,9663.5927734375,956269,,,34.82628358383643,,,,,,-1.7658486707566423,-2.2449970487341653
2024-01-24,9663.152198047756,9800.357198831394,9560.248447460024,9788.79296875,459092,,,43.75832333504759,,,,,,1.2955864164375885,-1.9182918909419588
2024-01-25,9788.793423907258,9800.161455960038,9620.569901940842,9683.7333984375,718817,,,38.93611396840095,,,,,,-1.0732637889870111,-1.698209329236755
2024-01-29,9732.882532886371,9834.658863862807,9677.901952442116,9791.9296875,446516,,,45.58659039050308,,,,,,1.1172993370507145,0.6741000845700063
2024-01-30,9810.990004034244,9833.188195464594,9733.22455406953,9752.97265625,399869,9825.14228515625,,43.739450393101336,,,,10023.669694001856,9626.614876310643,-0.39784835566917254,-0.8572676554092995
2024-01-31,9760.469660656285,10031.253341616297,9715.094197741317,9983.5263671875,997024,9820.4185546875,,55.28652710749798,,,,9998.051539994352,9642.785569380647,2.363932711220662,3.3107106357938454
2024-02-01,10006.16386957037,10486.185133917745,10000.283655739086,10425.5703125,1869594,9841.989111328125,,68.59535872616618,,,,10153.27176560798,9530.706457048269,4.427733538775946,6.505167141473578
2024-02-02,10386.419408128231,10497.751092178833,10329.969728876193,10442.72265625,814940,9870.302392578125,,68.98116538024536,,,,10277.277667223992,9463.327117932258,0.16452187492741466,7.837775231760968
2024-02-05,10390.337960835615,10545.13478315941,10192.370759544465,10220.3505859375,365105,9890.552392578125,,58.88171422874385,,,,10324.01684498143,9457.08794017482,-2.12944533367847,4.375244840497627
2024-02-06,10290.326102978748,10640.002651478246,10249.213413697422,10628.33984375,829040,9931.118505859375,,68.1075925441334,,,,10468.792741939471,9393.444269779278,3.9919301630793935,8.975388513357906
2024-02-07,10643.18805674898,10754.422112406532,10571.449249704629,10717.376953125,560808,9979.58125,,69.70512221621371,142.81459428111702,,,10609.37642619659,9349.786073803409,0.8377329920190579,7.3506149926084285
2024-02-08,10732.37126661803,10732.37126661803,10476.533131015403,10529.40625,557082,10014.852783203125,,62.57839925825208,157.42737522286916,,,10683.646115503794,9346.059450902456,-1.7538872053034504,0.9959736914872064
2024-02-09,10497.40778279264,10554.984882313152,10399.256820953771,10518.576171875,645489,10050.263916015625,,62.183915294294934,166.2181532017603,,,10746.43357090773,9354.09426112352,-0.10285554444250389,0.7263768092088618
2024-02-12,10486.382134041196,10534.355073628376,10437.429158740551,10495.888671875,190655,10084.49658203125,,61.31196866908345,169.4014618381916,,,10797.415960632004,9371.577203430496,-0.2156898389029327,2.695974894605091
2024-02-13,10515.782816010178,10613.786383726956,10427.726993243092,10578.9951171875,397979,10125.111669921875,,63.339833568481566,176.59458006159912,,,10853.37102037007,9396.852319473679,0.7917999886488225,-0.46427501649297653
2024-02-14,10491.282427702125,10829.394752555672,10489.71475336984,10807.78515625,354676,10171.2248046875,,68.27056958960146,198.46879739761243,,,10948.131502237666,9394.318107137333,2.1626821501296467,0.8435665137134007
2024-02-15,10819.594026847906,10910.73734609581,10760.791885397646,10868.8408203125,447248,10215.6546875,,69.45138594965522,218.21550159010076,,,11043.74090426219,9387.568470737811,0.5649229992991778,3.223681965091818
