Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,Change_1D_pct,Change_5D_pct
2024-01-01,182.90305887626064,183.87973111468568,181.79321021803088,182.3259429931641,4820168,,,,,,,,,,
2024-01-02,182.3259357428584,187.12047633657,180.8165307893226,183.8353271484375,21141219,,,,,,,,,0.8278493616950655,
2024-01-03,182.4591052363328,186.8541028718503,181.57122637873508,184.90077209472656,11650902,,,,,,,,,0.5795648544900001,
2024-01-04,186.8984990867474,191.249100059608,185.83304716971583,190.58319091796875,31054419,,,,,,,,,3.0732261195377975,
2024-01-05,191.2935175322199,193.1136720937293,189.1626134662308,192.181396484375,20743811,,,,,,,,,0.8385868442585487,
2024-01-08,193.557580243764,196.0436436170364,192.7584947353343,193.51318359375,19310595,,,,,,,,,0.6929844062629087,6.135846833933756
2024-01-09,196.22122617702564,196.6207689506003,191.73743526746165,192.35894775390625,11951525,,,,,,,,,-0.5964636715743765,4.636552036914199
2024-01-10,190.8939657354225,190.8939657354225,186.18820480072537,188.31912231445312,16500666,,,,,,,,,-2.100149479202529,1.8487484833082934
2024-01-11,190.0060869493817,190.0060869493817,187.2092737989825,188.0971527099609,12586419,,,,,,,,,-0.11786886098671401,-1.3044372885318567
2024-01-12,189.828527561679,199.55079962818823,188.54110575754035,198.35215759277344,39228118,,,,,,,,,5.451972416948481,3.210904500269951
2024-01-15,202.88032303019816,209.05107850467635,199.4619839407037,207.31971740722656,57884916,,,,,,,,,4.521029628961215,7.134673492045462
2024-01-16,208.60715121868017,212.15866692718447,205.1888254780192,208.74034118652344,34505065,,,,,,,,,0.6852333184047543,8.516054815175366
2024-01-17,206.1654792731687,210.649270458268,204.83366091410696,206.0323028564453,26010955,,,,,,,,,-1.2973238975681811,9.4059383477876
2024-01-18,204.25654432322577,208.2076027315682,199.46199011875663,207.36412048339844,19232183,,,79.25950300692554,,,,,,0.6464120472803092,10.243093792677715
2024-01-19,209.53943194438324,215.3550417693803,208.6515529954664,214.91110229492188,26391844,,,83.84147758541046,,,,,,3.6394829510188353,8.348255397425387
2024-01-23,217.5303124912473,218.10742830928663,202.4363724408342,204.1233367919922,20282617,,,62.56470341401998,,,,,,-5.01964085974752,-1.541763926368811
2024-01-24,205.1000325425329,208.65154825755508,202.52518906832464,208.07443237304688,14458601,,,65.97088813663093,,,,,,1.935641285876577,-0.3190129946570974
2024-01-25,208.6515572602921,210.8712546779548,206.69822624234047,207.80807495117188,18291957,,,65.53796398553928,,,,,,-0.12801064447816035,0.8618901357249076
2024-01-29,213.97880067730893,226.3647077994541,212.2918362986204,224.1894073486328,54127939,,,75.97859910051753,,,,,,7.882914271406438,8.113885288357503
2024-01-30,227.7409175149164,233.77848265745413,220.77106335307488,221.2593994140625,51491099,200.21447143554687,,71.78922167696508,,,,224.5250809812642,175.90386188982953,-1.3069341541252721,2.953917713580423
2024-01-31,222.36926826992791,225.83200411609124,218.6845762462478,223.9674530029297,33293192,202.29654693603516,,73.25693913527468,,,,227.24662748954614,177.34646638252417,1.223927026846594,9.721630325472908
2024-02-01,226.0983616716164,226.0983616716164,217.9298783131325,219.8832092285156,29758133,204.09894104003905,,67.54892647060565,,,,228.65921043006912,179.53867165000898,-1.823588079273586,5.675265682953934
2024-02-02,221.96973795098395,230.8485274690233,221.08185899918,228.4068603515625,30482663,206.27424545288085,,72.3848768570827,,,,231.348935589297,181.19955531646468,3.876444751262764,9.912408555457075
2024-02-05,230.89290288631523,237.99593426411727,226.4979184788488,233.4677734375,34001868,208.41847457885743,,74.78735312424736,,,,235.04562173406495,181.7913274236499,2.2157447802346075,4.1386282244988415
2024-02-06,235.5986671958639,242.74608137088572,231.0260963642461,241.7694091796875,36708949,210.89787521362305,,78.1459878915119,,,,240.12361185677503,181.67213857047108,3.5557951403557997,9.269667105641366
2024-02-07,244.16667536513063,244.74379117862964,237.5519673214199,241.41424560546875,23756939,213.29292831420898,,77.66929014185249,12.357953374089448,,,244.22839076026295,182.357465868155,-0.14690178357295025,7.7898785598596865
2024-02-08,242.43530032698024,244.74379067210967,238.92819525472248,242.5240936279297,25252940,215.80118560791016,,78.11848378934133,12.881476889094756,,,247.66155777845114,183.94081343736917,0.45972764352717466,10.29677731139731
2024-02-09,244.1666795938168,244.7437954173108,230.0937946416817,237.55197143554688,26743792,218.26282806396483,,71.20779147620006,12.748210899588685,,,248.83096763395514,187.69468849397452,-2.0501559733734465,4.0038688285930935
2024-02-12,232.5798888171575,236.70852028517223,228.0072908029928,228.9839630126953,30906374,220.30716857910156,,61.16621036164488,11.8150336159637,,,247.85147465509908,192.76286250310403,-3.606793229740146,-1.920526485855667
2024-02-13,229.07276837122924,232.9794303196176,226.1427651359592,230.4045867919922,20711842,221.9097900390625,,62.12003391928377,11.062593668270182,,,247.84051090184937,195.97906917627563,0.6204031761028128,-4.700686669275333
2024-02-14,229.0727467079667,239.41653004517107,227.2969889815484,238.70623779296875,36168962,223.4791160583496,,67.19130981652631,11.00924571310938,,,249.48683097900368,197.47140113769552,3.603075405990608,-1.1217266013893612
