Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,Change_1D_pct,Change_5D_pct
01-01-2024,4047.099951,4047.099951,3934.816116,3942.968994,763454,,,,,,,,,,
01-01-2025,4767.186002,4843.64479,4681.744085,4822.765137,290234,,,,,,,,,22.31303731626555,
01-02-2024,3752.232715,3872.181233,3752.232715,3840.302246,1313981,,,,,,,,,-20.37136089134004,
01-02-2025,5148.047318,5353.631596,5064.431817,5321.152832,609534,,,,,,,,,38.56078222859751,
01-03-2024,3700.679987,3777.423645,3686.864288,3752.77002,665946,,,,,,,,,-29.474492868691204,
01-04-2024,3964.888622,3973.871281,3843.524397,3853.43457,532524,,,,,,,,,2.682406581365737,-2.270736192352618
01-04-2025,5296.867839,5454.276985,5198.691143,5239.265137,562006,,,,,,,,,35.96351623014584,8.63612446736488
01-07-2024,4530.408563,4617.746049,4516.739227,4526.063477,1364796,,,,,,,,,-13.612627751234196,17.856959871173615
01-07-2025,5584.093612,5675.40956,5560.400826,5642.338379,534027,,,,,,,,,24.663262185175938,6.0360143213417095
01-08-2024,4853.10291,4904.362925,4787.685367,4851.442871,654655,,,,,,,,,-14.017158399141794,29.276317097630212
01-08-2025,5551.0,5670.0,5475.0,5528.0,1408773,,,,,,,,,13.945482756154659,43.456438654413176
01-09-2025,6085.0,6292.0,6085.0,6280.0,698178,,,,,,,,,13.60347322720694,19.864138114528096
01-10-2024,4961.960222,4981.359077,4888.611499,4908.99707,449002,,,,,,,,,-21.83125684713375,8.460632400450097
01-10-2025,7000.0,7063.0,6950.0,7021.5,313734,,,62.8563402789649,,,,,,43.03328968986327,24.443085975365264
01-11-2024,4921.04139,4926.125371,4866.893402,4890.191406,79729,,,50.70660203109837,,,,,,-30.35403537705619,0.7987012530153326
01-12-2025,7061.5,7250.0,7025.0,7125.5,974710,,,59.539862216921875,,,,,,45.71004299049313,28.898335745296677
02-01-2024,3915.385991,3916.020543,3790.653304,3800.563477,1221148,,,46.260596796663876,,,,,,-46.662501199915795,-39.481473296178336
02-01-2025,4822.469151,5261.772891,4804.946361,5240.15332,2863478,,,51.3227191191881,,,,,,37.8783265090036,6.7459044134243085
02-02-2024,3807.886351,3807.886351,3721.232527,3735.194824,872011,,,46.401811988916215,,,,,,-28.71974165824599,-46.803463305561486
02-04-2024,3895.7607,3895.7607,3821.848696,3829.562012,485047,4907.6082885999995,,46.74660936329077,,,,6957.997584452562,2857.2189927474374,2.526432822021918,-21.68891370384123
02-04-2025,5293.067118,5324.904298,5243.262716,5286.946289,365908,4974.80715335,,51.89361147025943,,,,6981.971118955258,2967.643187744741,38.056160794191655,-25.802451912146505
02-05-2024,4489.400795,4524.648252,4439.01943,4493.696777,908139,4958.35373535,,49.111280702435515,,,,6975.602953683686,2941.1045170163134,-15.003926059366869,18.23764565950967
02-05-2025,5488.828674,5488.828674,5307.183984,5370.364746,634482,5034.856860350001,,52.16382065327962,,,,6991.851056647124,3077.8626640528773,19.50883676635755,2.48487817146541
02-06-2025,5271.644789,5316.068762,5248.445603,5292.375977,475698,5033.418017599999,,51.86576167715,,,,6989.610274429124,3077.225760770875,-1.4522061850284707,41.68942254349193
