Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,Change_1D_pct,Change_5D_pct
2024-01-01,5202.224434164453,5212.845100638074,5154.479725928068,5183.51611328125,130032,,,,,,,,,,
2024-01-02,5183.51620681372,5198.2784719792335,5090.268152263488,5153.359375,193517,,,,,,,,,-0.5817815093500323,
2024-01-03,5153.359399608785,5197.255110424969,5105.76075240186,5119.20703125,123303,,,,,,,,,-0.6627200097024111,
2024-01-04,5119.207078071883,5237.302346405837,5087.247544294861,5223.953125,413391,,,,,,,,,2.0461390428357706,
2024-01-05,5223.953206396089,5225.950974646017,5121.350988208402,5137.2822265625,299017,,,,,,,,,-1.6591055923286024,
2024-01-08,5169.095564712318,5169.095564712318,5038.57692937166,5044.7158203125,236628,,,,,,,,,-1.8018555759187649,-2.6777247323127806
2024-01-09,5065.811082413668,5076.72434910712,4980.065482249712,4991.17333984375,194434,,,,,,,,,-1.061357713216704,-3.1471904704152287
2024-01-10,4980.065648734495,5011.879121068019,4922.089928503679,4956.33935546875,191450,,,,,,,,,-0.697911733438028,-3.1815020331670607
2024-01-11,4972.173029995595,5053.533914188903,4946.497973182511,5005.107421875,277823,,,,,,,,,0.9839533354882191,-4.189273867670851
2024-01-12,5017.091886659906,5115.894105995104,4969.395707255601,5019.13818359375,462298,,,,,,,,,0.2803288828013617,-2.2997382226322305
2024-01-15,5027.761671767447,5094.0681644328,4987.860545855298,5044.7158203125,400069,,,,,,,,,0.5096021624261482,0.0
2024-01-16,5035.994525662401,5084.3239554644415,4976.41117699229,4999.1630859375,203028,,,,,,,,,-0.9029791964015543,0.16007751183413355
2024-01-17,4984.011699759132,5003.694403470571,4925.50025987902,4932.02880859375,270672,,,,,,,,,-1.3429103269824605,-0.4904939942858455
2024-01-18,4931.346400121429,4947.86236230986,4846.770248298282,4886.6708984375,514119,,,26.091846995864202,,,,,,-0.9196602841657464,-2.366313316670665
2024-01-19,4900.165968972691,5037.2126711011815,4883.893602946541,5007.0068359375,329252,,,42.94178826173185,,,,,,2.4625341055497962,-0.24170180641577277
2024-01-23,5034.04603199984,5056.895475498969,4799.707209303066,4918.77685546875,491135,,,36.390846726368686,,,,,,-1.7621302179075204,-2.496453107163299
2024-01-24,4918.777179440525,5041.110632072895,4901.140772559738,5010.51513671875,611741,,,45.67135149787836,,,,,,1.865062879362056,0.22707902475083142
2024-01-25,5018.066416089247,5102.398973025446,4975.291148978418,5010.173828125,342129,,,45.644669192195046,,,,,,-0.006811846375809338,1.5844396406421435
2024-01-29,5010.271688897664,5085.786285531185,4980.260916931627,5005.30224609375,275710,,,45.2384182480528,,,,,,-0.09723379264613419,2.4276516696506434
2024-01-30,5031.025917267398,5059.867716910147,4950.834476516086,4961.30908203125,146422,5030.472729492188,,41.63463285659362,,,,5206.007632716403,4854.937826267972,-0.8789312193251297,-0.9126760838083392
2024-01-31,4961.308354090891,5086.272815506349,4902.845448165531,5065.22607421875,549238,5024.5582275390625,,51.469195530426404,,,,5186.5140253548125,4862.6024297233125,2.0945478394777783,2.9773503261725676
2024-02-01,5062.936771407821,5068.686005111092,4995.753426322985,5016.70263671875,344394,5017.725390625,,47.4487491563949,,,,5168.514398012593,4866.9363832374065,-0.9579718020282901,0.12349029652971577
2024-02-02,5034.387139758811,5075.55477060118,4999.991652701232,5016.94580078125,176167,5012.612329101563,,47.47089332721045,,,,5156.045825996962,4869.178832206164,0.004847089415260797,0.13516442519887484
2024-02-05,5037.456566833126,5105.517233340981,4948.398162034863,4993.2197265625,231620,5001.075659179687,,45.458101605137315,,,,5106.825445111139,4895.325873248235,-0.4729186872031832,-0.24139440411774515
2024-02-06,4993.220155556062,4993.707346516699,4864.650270735312,4878.77880859375,336609,4988.15048828125,,37.25317257433636,,,,5087.123389554976,4889.1775870075235,-2.2919263368274545,-1.6634777651004629
2024-02-07,5008.322372064687,5051.097637247501,4798.830288408286,4948.154296875,1258830,4983.322412109375,,43.86752224362082,-38.86861239672544,,,5080.185230653401,4886.45959356535,1.4219847015619624,-2.311284346016218
2024-02-08,4970.321538756747,4991.173214025603,4709.33327968226,4750.64697265625,623680,4971.29609375,,33.15286506601977,-54.41812259116341,,,5111.364366013392,4831.227821486608,-3.9915352749506083,-5.303397138095423
2024-02-09,4750.647035337197,4850.521170691923,4735.544117307946,4844.13916015625,411953,4965.686083984375,,40.554549983257786,-58.52257148890021,,,5116.292419856277,4815.079748112473,1.9679885295228683,-3.44445898933351
2024-02-12,4844.139553019608,4869.912144249292,4814.17730998323,4842.873046875,158487,4957.574365234375,,40.48916642410222,-61.172384402852,,,5116.082625337855,4799.066105130896,-0.02613701298394,-3.011016697056179
2024-02-13,4842.873098551278,4923.94138698139,4813.641641618506,4853.98095703125,262011,4949.31650390625,,41.3820687123423,-61.66522636681202,,,5111.305384773439,4787.32762303906,0.22936612314083948,-0.5082798900171381
2024-02-14,4840.290181546468,4896.268606973955,4823.18997104897,4882.2861328125,277479,4941.19501953125,,43.70017389074647,-59.090655747857454,,,5099.482642883262,4782.907396179238,0.5831332267640654,-1.3311663321432632
2024-02-15,4882.578626741687,4914.148501620925,4806.479313697314,4823.7255859375,189625,4932.42314453125,,40.16153007461838,-61.071640845567345,,,5096.236888654133,4768.609400408367,-1.199449300634603,1.5382875996022394
2024-02-16,4827.0877109580215,4843.213540353619,4769.355586033867,4787.8203125,352139,4925.212719726563,,38.12317184819228,-64.79195991889537,,,5100.737494519827,4749.687944933298,-0.7443473472490636,-1.1626182856074974
2024-02-19,4793.910185241002,4821.777125602991,4761.462984091182,4799.07421875,182521,4920.8328857421875,,39.165371345818606,-66.07062239892366,-58.38130071846051,-7.689321680463152,5104.183109825417,4737.482661658958,0.2350528114143824,-0.9043976106964502
2024-02-20,4784.360901311768,4807.600003373513,4754.10653545843,4795.0791015625,129279,4910.236499023437,,38.91479018165822,-66.63818072844333,-60.032676720457076,-6.605504007986255,5096.906753574201,4723.566244472674,-0.08324766414095075,-1.2134752070551036
2024-02-21,4808.330822647284,4860.508780279514,4762.778471270059,4796.8818359375,235932,4904.141748046875,,39.104120854887654,-66.17963159797091,-61.26206769595985,-4.917563902011061,5097.150733244985,4711.132762848766,0.03759550857904692,-1.749268571151974
2024-02-22,4798.782182493819,4840.72913170172,4735.495889708204,4829.96240234375,255308,4895.114111328125,,42.618759822814525,-62.42728004057335,-61.49511016488255,-0.9321698756908035,5084.227651220387,4706.000571435862,0.6896264602228808,0.12929459388055786
2024-02-23,4829.962008483568,4843.067158107141,4786.2608900092855,4809.8896484375,115910,4885.09990234375,,41.06982077092956,-60.377226795355455,-61.27153349097713,0.8943066956216725,5069.944938991681,4700.254865695819,-0.41558820202223234,0.4609474561917404
2024-02-26,4823.1415986894535,4830.010800380233,4766.286322941435,4776.322265625,78084,4873.650903320313,,38.54682055218249,-60.76074009772947,-61.169374812327604,0.4086347145981364,5055.640362960823,4691.661443679803,-0.6978825974397251,-0.4740904617834052
2024-02-27,4754.008798888981,4813.007426528945,4754.008798888981,4778.70947265625,434014,4864.520922851562,,38.83459855744295,-60.17835092646692,-60.97117003515547,0.7928191086885477,5046.324996070865,4682.716849632259,0.04998002434699611,-0.34138391796114664
2024-02-28,4768.965982781857,4790.158788375224,4742.511610264616,4762.58349609375,96877,4849.3887939453125,,37.55520545314501,-60.32267263002086,-60.84147055412855,0.5187979241076874,5011.124788627771,4687.652799262854,-0.33745463403399567,-0.7150132318622493
2024-02-29,4759.903890269445,4853.298486221957,4705.143915484056,4838.0009765625,447941,4840.4537109375,,46.44191356722439,-53.73209805689203,-59.41959605468125,5.687497997789222,4982.813611270157,4698.0938106048425,1.5835413810719956,0.16643140358296726
2024-03-01,4838.001235579792,4858.950446583039,4788.258753757469,4801.4619140625,316277,4829.679516601563,,43.231816100176495,-50.87100788641419,-57.70987842102784,6.838870534613648,4947.476751957895,4711.88228124523,-0.7552512427552616,-0.1752167927124404
2024-03-04,4780.317149621693,4815.833556829072,4709.674468547993,4714.93603515625,307520,4815.76533203125,,36.75327193804008,-54.95203575236246,-57.15830988729476,2.2062741349323005,4917.676586466632,4713.854077595868,-1.8020736278847371,-1.2852196115522685
2024-03-05,4715.082011458933,4742.754834917916,4687.750792553343,4702.025390625,156956,4806.927661132812,,35.88905542651071,-58.553097196810995,-57.43726734919801,-1.1158298476129858,4915.862050934554,4697.993271331071,-0.2738243835119669,-1.6047027439110018
2024-03-06,4715.033427919953,4762.583068419546,4666.070743532068,4755.7138671875,190965,4797.305639648437,,41.99699695964477,-56.42432843523238,-57.234679566404886,0.8103511311725029,4886.926764954572,4707.6845143423025,1.1418159644468462,-0.14424164766632108
2024-03-07,4745.239608512112,4776.419827705621,4711.233777108669,4763.89892578125,216747,4797.968237304687,,42.890298293954714,-53.46053822497652,-56.479851298119215,3.0193130731426976,4886.3876097504635,4709.548864858911,0.17210998858074866,-1.5316667181390464
2024-03-11,4768.673535523096,4830.644319363415,4746.311756437172,4810.9130859375,295000,4796.30693359375,,47.85769977451649,-46.778826130687776,-54.53964626463293,7.760820133945153,4882.412152375525,4710.201714811975,0.9868840814782898,0.19683946356670035
2024-03-12,4809.256528248136,4813.446179755574,4728.479894937579,4744.4111328125,140625,4791.383837890625,,42.258524061761996,-46.31577358666436,-52.89487172903922,6.579098142374853,4877.535538180113,4705.232137601137,-1.382314582223232,0.6251431077001435
