date,headline,source,summary
2025-05-28,Analyst/ Investor Meet: Outcome (Transcript),BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2025-05-29,Schedule of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-05-30,"Disclosure of event or information under Regulation 30 of SEBI (LODR) Regulations, 2015",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-05-30,Annual Secretarial Compliance Report for the Financial Year 2024-25,BSE,Compliances-Reg.24(A)-Annual Secretarial Compliance
2025-06-10,"Disclosure of event or information under Regulation 30 of SEBI (LODR) Regulations, 2015",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-06-12,Gas Release Incident at ONGC Rudrasagar Field: Situation under Control,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-06-20,"Approval for providing Corporate Guarantee upto USD 412 Million for raising funds (including refinancing of loans) by OVL Oversees IFSC Limited (OOIL), a step down subsidiary of the Company",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2025-06-27,Deafening Silence Marks Triumph at ONGC Well RDS#147,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-06-27,"Disclosure of event or information under Regulation 30 of SEBI (LODR) Regulations, 2015",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-07-01,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015- Superannuation of Director (Exploration)",BSE,Announcement under Regulation 30 (LODR)-Retirement
2025-07-01,Additional Charge of the post of Director (Exploration),BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-07-01,Change in Senior Management,BSE,Change In Senior Management
2025-07-03,ONGC has signed a Head of Agreement with Mitsui O. S. K Lines Ltd.,BSE,Signing Of Heads Of Agreement
2025-07-07,"Compliance Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30.06.2025.",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2025-07-14,Appointment of Director (Exploration),BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-07-22,"The Board of Directors of the Company at its meeting held today i.e. 22.07.2025, has inter-alia considered and
approved the following proposals:
1. Appointment of Shri Om Prakash Sinha ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2025-07-23,"Disclosure of event or information under Regulation 30 of SEBI (LODR) Regulations, 2015",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-07-28,"ONGC, BP Exploration (Alpha) Ltd, and Reliance Industries Limited sign Joint Operating Agreement for Offshore Block in Saurashtra Basin",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-07-30,"Disclosure of event or information under Regulation 30 of SEBI (LODR) Regulations, 2015",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-08-01,Change in Senior Management,BSE,Change In Senior Management
2025-08-02,"it is hereby informed that  04.09.2025 has been fixed as Record date for payment of Final Dividend for the FY''25 , subject to approval of Shareholders at the AGM.",BSE,Intimation Of Record Date
2025-08-04,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 12/08/2025 ,inter alia, to consider and approve Un-Audited ....",BSE,Board Meeting Intimation for Intimation Of Board Meeting
2025-08-05,Newspaper Publications: 32nd Annual General Meeting,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-08-07,BRSR for Financial Year 2024-25,BSE,Business Responsibility and Sustainability Reporting (BRSR)
2025-08-07,Integrated Annual Report for FY''25,BSE,Reg. 34 (1) Annual Report.
2025-08-07,Notice of 32nd Annual General Meeting scheduled to be held on 29.08.2025,BSE,Notice Of Annual General Meeting
2025-08-08,Intimation of Conference call with Analyst(s) & Investor(s) on Q1 FY'26 Financial Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-08-08,Newspaper Publication for dispatch of Notice and Annual Report,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-08-12,ONGC declares Results for Q1 FY''26,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-08-12,ONGC and Oil India sign Joint Operating Agreement for three Blocks awarded in OALP round IX,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-08-12,Integrated Financial Results for the quarter ended 30.06.2025,BSE,Integrated Financial Results For The Quarter Ended 30.06.2025
2025-08-12,"The Board of Directors of the Company at its meeting held today i.e. 12.08.2025, has inter-alia considered and approved the following business items: - 
1. Integrated Financial Results ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2025-08-13,Link for Audio Recording of Conference call with Analyst(s) & Investor(s),BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-08-14,Intimation for Revision in Credit Rating,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2025-08-18,"ONGC Energy Centre Trust and Engineers India Limited sign Agreement for Helium Recovery Demonstration Plant at Kuthalam, Tamil Nadu",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-08-19,Schedule of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-08-21,Analyst/ Investor Meet: Outcome (Transcript),BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2025-08-25,ONGC commences monetisation of much-awaited Chinnewala Tibba Gas in RKOEA,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-08-29,Proceedings of the 32nd Annual General Meeting of the Company held on 29.08.2025.,BSE,Shareholder Meeting / Postal Ballot-Outcome of AGM
2025-08-29,Presentation for Post - AGM Media Interaction,BSE,Presentation For Post - AGM Media Interaction
2025-08-30,Scrutinizer''s Report on Remote e-voting and e-voting conducted during AGM,BSE,Shareholder Meeting / Postal Ballot-Scrutinizer''s Report
2025-09-01,Change in Senior Management,BSE,Change In Senior Management
2025-09-12,Appointment of Statutory Auditor by C& AG for the Financial Year 2025-26,BSE,Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s
2025-09-18,"The Board of Directors at its meeting held today, i.e. 18.09.2025 has considered and approved the re-appointment of Shri Praveen Mal Khanooja (DIN: 09746472), Additional Secretary, Ministry ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2025-09-19,Brief Profile of Statutory Auditors,BSE,Brief Profile Of Statutory Auditors
2025-09-22,"It is informed that Ministry  of Petroleum and Natural Gas,  Govt. of India has issued direction  in respect of Block CB-OS/2.",BSE,Direction Issued By Govt. Of India In Respect Of Block CB-OS/2
2025-09-24,Dissent to accept appointment as Joint Statutory Auditor,BSE,"Intimation Of Letter Received From M/S MSKA & Associates, Chartered Accountants"
2025-10-07,"Disclosure of event or information under Regulation 30 of SEBI (LODR) Regulations, 2015",BSE,"Disclosure Of Event Or Information Under Regulation 30 Of SEBI (LODR) Regulations, 2015"
2025-10-08,"Compliance Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30.09.2025.",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2025-10-13,Presentation on ONGC''s Growth Pursuits,BSE,Presentation On ONGC''s Growth Pursuits
2025-10-24,"Oil And Natural Gas Corporation Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 10/11/2025 ,inter alia, to consider and approve It is hereby ....",BSE,Board Meeting Intimation for Intimation Of Board Meeting
2025-10-29,"The Board of Directors of the Company, at its meeting held today i.e. 29.10.2025, has inter-alia considered and approved the appointment of Shri Shashi Bhushan Singh (ACS: 15194) as Interim ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2025-10-30,Intimation of Record Date,BSE,Intimation Of Record Date
2025-10-30,Intimation regarding reduction in size of Non-Convertible Debenture - Credit Rating,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2025-11-01,Change in Senior Management,BSE,Change In Senior Management
2025-11-01,Superannuation of Company Secretary and Compliance Officer,BSE,Announcement under Regulation 30 (LODR)-Cessation
2025-11-06,Intimation of Conference call with Analyst(s) & Investor(s) on Q2 FY'26 Financial Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-11-07,Appointment of M/s Rama K Gupta & Co. as Statutory/ Joint Statutory Auditor for the Financial Year 2025-26.,BSE,Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s
2025-11-10,Integrated Financial Results for the quarter and half year ended 30.09.2025,BSE,Integrated Financial Results For The Quarter And Half Year Ended 30.09.2025
2025-11-10,"ONGC declares results for Q2 FY''26; posts consolidated net worth of Rs. 12, 615 crore - up by 28.2%; declares interim dividend of Rs. 6 on face value of Rs. 5 per share, standalone crude ....",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-11-10,The Board has approved the appointment of Shri Shashi Bhushan Singh as Company Secretary and Compliance Officer with immediate effect.,BSE,Appointment of Company Secretary and Compliance Officer
2025-11-10,"The Board of Directors of the Company, at its meeting held today i.e. 10.11.2025, has inter-alia considered the following proposals:
1. Unaudited Financial Results (Standalone and Consolidated) ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2025-11-10,The Board of Directors has declared 1st Interim Dividend at the rate of Rs. 6 per share for FY''26,BSE,Corporate Action-Board approves Dividend
2025-11-11,Link for Audio Recording of Conference call with Analyst(s) & Investor(s),BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-11-12,End of Force Majeure in Area 1 Mozambique LNG Project,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-11-13,Schedule of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-11-18,Conference call with Analyst & Investors : outcome(Transcript),BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2025-11-21,Intimation regarding Credit Rating in respect of withdrawal of ONGC Videsh Vankorneft Pte. Ltd. Issue Rating on US$ Notes at Issuer Request,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2025-12-02,Change in Senior Management,BSE,Change In Senior Management
2025-12-03,Re-employment of Shri Arun Kumar Singh as Chairman of the Company,BSE,Re-Employment Of Shri Arun Kumar Singh As Chairman Of The Company
2025-12-05,Re-employment of Shri Arun Kumar Singh as Chairman of the Company.,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-12-05,"The Board of Directors at its meeting held today, i.e. 05.12.2025, has considered and approved the re-employment of Shri Arun Kumar Singh, as Chairman, ONGC on contract basis for a further ....",BSE,Board Meeting Outcome for Outcome Of Board Meeting
2025-12-05,Re-employment of Shri Arun Kumar Singh as Chairman & CEO of the Company,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2025-12-13,"Disclosure of ""ESG Rating Report"" and ""Scores on Climate Change""",BSE,Disclosure Of 'ESG Rating Report' And 'Scores On Climate Change'
2025-12-18,ONGC issues Public Notice against fraudulent use of its name,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2026-05-05,NSE's profit falls 15% in FY26 as market activity moderates,NewsAPI,"A cooling derivatives market and a massive  ₹1,391-crore provision for Sebi settlements weighed on annual earnings, even as a strong March quarter provided a boost ahead of the exchange's planned IPO."
2026-05-06,Son rise at Sun: Decoding the architecture of Dilip Shanghvi’s global empire,NewsAPI,"With a bold $11.75 billion bet on Organon, Dilip Shanghvi is hedging a decade of US stagnation and quietly commissioning an empire for a son who would rather let the numbers do the talking."
2026-05-13,"Actis restarts Nxt-Infra sale process, appoints Ambit",NewsAPI,"Interest in road assets has been buoyant in India lately, driven by the availability of a large number of assets that attract large institutional investors, including pension and sovereign wealth funds."
2026-05-17,NSE's Electronic Gold Receipts: What are EGRs and what is in them for gold buyers?,NewsAPI,"EGRs give people the option to convert their physical gold into electronic format, hold it and enjoy the upside in gold prices, and later sell it or convert back to physical gold. The gold’s purity is assured and can be bought in small quantities of 100 milli…"
2026-05-24,Gold ETF vs EGR vs digital gold: What’s the smarter way to invest in yellow metal?,NewsAPI,"There are several ways to invest in gold, including Gold ETFs, Electronic Gold Receipts, and Digital Gold. But which option is best for regularly investing your surplus monthly income? Let’s explore."
2026-05-25,Top 5 silver ETFs by lowest tracking error that closely mirror silver prices,NewsAPI,Tracking error is one of the most important factors to check while choosing a silver ETF. It shows how closely an ETF follows the actual movement of silver prices. A lower tracking error means the ETF is doing a better job in mirroring silver prices.
