date,headline,source,summary
2024-02-26,Monetary Penalty Order by Reserve Bank of India,BSE,"Announcement Under Regulation 30 Of SEBI (LODR), 2015"
2024-02-26,Organised by BofA Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-26,Organised by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-26,Organised by JM Financial,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-26,Organised by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-27,Newspaper publication regarding loss of share certificates,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-02-27,Details loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-02-29,Organized by JM Financial,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-03-02,Newspaper publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-03-06,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-03-07,Credit Opinion Update,BSE,Credit Opinion Update
2024-03-12,Investor Meet organised by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-03-13,Cancellation of Investor Interaction,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-03-14,Loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-03-14,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-03-15,Cancellation of Investor Interaction,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-03-16,Intimation of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-03-28,Closure of Trading Window Q4-2024,BSE,Closure of Trading Window
2024-03-28,Details of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-03-30,Intimation of loss of Share Certificates,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-03-30,Newspaper Publication regarding loss of share certificates,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-04-03,Loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-04-04,compliance certificate under regulation 7(3),BSE,Compliance Certificate U/R 7(3)
2024-04-04,Compliance Certificate under Reg 74(5),BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-04-06,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-04-06,Details of loss of certificate / duplicate certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-04-08,Details of loss of share certificate / duplicate certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-04-15,S&P Credit Rating,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-04-16,Credit Rating Fitch,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-04-18,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-04-18,Loss of Share Certificates,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-04-20,Details of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-04-24,"Certificate under Regulation 40(10) of SEBI (LODR) Regulations, 2015",BSE,Compliances-Certificate Under Regulation 40(10) Of SEBI LODR
2024-04-29,Loss of Share Certificates,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
