date,headline,source,summary
2024-10-28,Loss of Share Certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-10-28,Newspaper publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-11-04,Loss of Share Certificates,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-11-04,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 08/11/2024 ,inter alia, to consider and approve To seek approval for raising ....",BSE,Update on board meeting
2024-11-04,Updates on interaction with Analysts / Institutional Investors on 8th November 2024,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-11-08,Press Release Q2-25,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-11-08,Investor Presentation,BSE,Announcement under Regulation 30 (LODR)-Investor Presentation
2024-11-08,Financial Results for the quarter and half year ended 30.09.2024,BSE,Financial Results For The Quarter And Half Year Ended 30.09.2024
2024-11-08,Statement of Utilisation of funds,BSE,Statement Of Utilisation Of Funds
2024-11-09,"State Bank of India has informed BSE regarding ""Interaction with Institutional Investors / Analysts""",BSE,Interaction with Institutional Investors / Analysts
2024-11-09,"State Bank of India has informed BSE regarding ""Audio Recording of Post Earnings Investor / Analyst Meeting"".",BSE,Audio Recording of Post Earnings Investor / Analyst Meeting
2024-11-11,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-11-12,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-11-13,Investor interaction arranged by ICICI Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-11-13,Rating Rationale,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2024-11-14,Investor interaction by Kotak Securities Limited,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-11-14,Investor interaction by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-11-16,Analyst meet Transcript Q2FY25,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-11-16,Newspaper publication for intimation of loss of share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-11-16,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-11-18,Issuance of Reg S Notes,BSE,Issuance Of USD 500 Mio Fixed Rate Senior Unsecured Reg S Notes
2024-11-18,Update on Bidding,BSE,Update On Bidding
2024-11-18,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-11-19,Loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-11-19,Allotment of Bonds,BSE,Announcement under Regulation 30 (LODR)-Allotment
2024-11-20,Investor Interaction organised by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-11-22,Investor interaction arranged by Kotak Securities at London,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-11-23,Investor interaction arranged by Kotak Securities at London,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-11-26,Investor interaction on 29.11.2024,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-11-27,PRESS RELEASE,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-11-27,Intimation of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-11-29,Intimation of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-11-29,Investor interaction organised by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2024-11-29,Newspaper publication of loss of share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-12-04,Newspaper publication of loss of share certificate,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-12-04,Intimation of loss of share certificate,BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-12-18,Senior Management: Chief Risk Officer,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2024-12-18,Appointment of Shri Rama Mohan Rao Amara as Managing Director of the Bank,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-12-20,"Additional Details of Shri Rama Mohan Rao Amara, Managing Director",BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-12-21,Completion of tenure,BSE,Announcement under Regulation 30 (LODR)-Change in Directorate
2024-12-27,Intimation of trading window closure,BSE,Closure of Trading Window
2024-12-30,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2024-12-31,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-01-07,Appointment of Group Chief Risk Officer,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-01-13,"Certificate under Regulation 74(5) of SEBI (DP) Regulations, 2018",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2025-01-16,"STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 06/02/2025 ,inter alia, to consider and approve financial results for the quarter ....",BSE,Board Meeting Intimation for Considering Financial Results For The Quarter Ended 31.12.2024
2025-01-16,Analyst Meet post Q3-FY2025 Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-02-01,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-02-03,Update on Analyst / investors meet scheduled on 06.02.2025,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-02-04,Update on Analyst / investors meet scheduled on 06.02.2025,BSE,Update On Analyst / Investors Meet Scheduled On 06.02.2025
2025-02-06,Integrated Filing (Financial),BSE,Integrated Filing (Financial)
2025-02-06,Analyst / investors meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-02-06,Disclosure regarding statement of deviation and variation,BSE,Disclosure Regarding Statement Of Deviation And Variation
2025-02-06,Investors Presentation,BSE,Announcement under Regulation 30 (LODR)-Investor Presentation
2025-02-06,Audio Recording,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-02-06,Unaudited Financial Result for the quarter and year ended 31st Dec 2024,BSE,Unaudited Financial Result For The Quarter And Year Ended 31St Dec 2024
2025-02-06,Unaudited Reviewed Financial Results (standalone and consolidated) of the Bank for the quarter and 9 months ended 31 Dec 2024,BSE,Board Meeting Outcome for Unaudited Reviewed Financial Results (Standalone And Consolidated) Of The Bank For The Quarter And 9 Months Ended 31 Dec 2024
2025-02-06,Disclosure regarding Analyst / investors meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-02-06,Press Release,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-02-07,Analyst / Investors meet - intimation,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-02-07,Newspaper publication of the Financial Results,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-02-11,Investor Interaction organised by Kotak Securities Limited,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-02-11,Investor interaction by Elara Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-02-13,Investor interaction arranged by HSBC Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-02-13,Transcript of Q3-FY25 analysts meet held on 06.02.2025,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-02-14,Outcome of Analyst/ Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-02-17,Investor interaction arranged by Kotak Securities Limited,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-02-20,Investor interaction arranged by IIFL Institutional Equities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-02-27,Investor interaction arranged by IIFL,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-02-28,Investor interaction arranged by CLSA,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-03-01,Investor interaction arranged by Autonomous,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-03-04,Divestment - Jio Payments Bank Limited,BSE,Divestment - Jio Payments Bank Limited
2025-03-05,Investor interaction arranged by Autonomous,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-03-07,Investor interaction arranges by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-03-12,"Investor interaction arranged by Morgan Stanley, scheduled on 12.03.2025 was cancelled",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-03-13,Investor interaction arranged by J P Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-03-13,Investor interaction arranged by Nuvama,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-03-20,Investor interaction arranged by J P Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-03-20,Investor meet by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-03-21,"Investor interaction arranged by Nuvama in London, scheduled on 21.03.2025 has been cancelled.",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-03-21,Investor interaction arranged by J P Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-03-25,Investor interaction arranged by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-03-26,Investor interaction arranged by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-03-27,Intimation of closure of trading window,BSE,Closure of Trading Window
2025-03-28,Credit Rating affirmed by Fitch Ratings,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2025-03-29,Update on payment of Redemption amount for Bond series INE649A09126,BSE,Update On Payment Of Redemption Amount For Bond Series INE649A09126
2025-03-29,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-03-30,General Meeting of Shareholders on 9th May 2025,BSE,General Meeting Of Shareholders
2025-04-02,Notice of General Meeting of shareholders,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-04-04,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-04-08,Certificate for the quarter ended 31.03.2025,BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2025-04-16,Change in Statutory Auditors,BSE,Change In Statutory Auditors
2025-04-24,Analyst meet post Q4FY25 results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-04-24,"State Bank Of Indiahas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 03/05/2025 ,inter alia, to consider and approve financial results for the quarter ....",BSE,"Board Meeting Intimation for Financial Results For The Quarter / Year Ended 31.03.2025 And Declaration Of Dividend, If Any"
2025-04-25,Corrigendum to the Notice of General Meeting of Shareholders dated 09.05.2025.,BSE,Corrigendum To The Notice Of General Meeting Of Shareholders Of State Bank Of India
2025-04-25,Affirmation of credit rating by S&P Global Ratings,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2025-04-29,General meeting updates-Gazette and newspaper publication,BSE,Gazette And Newspaper Publication
2025-04-29,"State Bank Of Indiahas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 03/05/2025 ,inter alia, to consider and approve To discuss and approve the ....",BSE,Update on board meeting
2025-04-30,Details of the Analyst / investors meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-04-30,Disclosure regarding change in Senior management of the Bank,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-05-03,Book Closure for dividend,BSE,Book Closure For Dividend
2025-05-03,Record date for dividend,BSE,Record Date For Dividend
2025-05-03,Audio Recording of Post Earnings Investor / Analyst Meeting,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-05-03,Financial Results,BSE,Integrated Filing (Financial)
2025-05-03,Audited Financial Results for the quarter and year ended 31.03.2025,BSE,Audited Financial Results For The Quarter And Year Ended 31.03.2025
2025-05-03,Analyst presentation Q4-FY25,BSE,Announcement under Regulation 30 (LODR)-Investor Presentation
2025-05-03,Press Release on Q4FY25 Results,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-05-03,Update on timing of analyst / investor meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-05-03,Statement of deviation / variation in utilisation of funds,BSE,Compliances - Statement Of Deviation / Variation
2025-05-06,Notice of 70thAGM to be held on 13.06.2025,BSE,Notice Of 70Th AGM
2025-05-06,Notice of General Meeting to be held on 13.06.2025 at 5.00 PM,BSE,Notice Of General Meeting
2025-05-06,Newspaper publication of Financial Results Q4FY2025,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-05-07,Newspaper publication of notice of Annual General Meeting and General Meeting,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-05-09,Transcript of Q4-FY25 Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-05-09,Monetary penalty by RBI,BSE,Monetary Penalty By Reserve Bank Of India
2025-05-09,Newspaper publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-05-09,Proceedings of General Meeting held on 09.05.2025,BSE,Shareholder Meeting / Postal Ballot-Outcome of EGM
2025-05-09,Divestment of 13.19% stake in Yes Bank Limited,BSE,Divestment Of 13.19% Stake In Yes Bank Limited
2025-05-13,Scrutinizer''s Report and Voting Results,BSE,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report"
2025-05-14,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-05-14,"State Bank Of Indiahas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 20/05/2025 ,inter alia, to consider and approve long-term fund-raising programme ....",BSE,Board Meeting Intimation for Long-Term Fund-Raising Programme For FY 2025-26
2025-05-15,Revised Scrutinizer''s Report,BSE,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report"
2025-05-16,Investor interaction organized by Centrum Broking Limited,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-05-17,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-05-17,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-05-20,Secretarial Compliance Report for the year ended 31.03.2025,BSE,Compliances-Reg.24(A)-Annual Secretarial Compliance
2025-05-20,Long Term Fund Raising Programme,BSE,Board Meeting Outcome for Long Term Fund Raising Programme
2025-05-21,Annual Report and BRSR for FY 2024-25,BSE,Reg. 34 (1) Annual Report.
2025-05-21,Investor interaction arranged by Centrum Broking Limited,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-05-21,Investor interaction organised by Citi,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-05-22,Newspaper Advertisement pertaining to dispatch of Annual Report 2024-25 and Notice of 70th AGM,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-05-26,Intimation regarding Analyst / Investors meet organised by Kotak,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-05-26,Intimation regarding Analyst Meet organised by Kotak,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-05-28,Investor interaction arranged by Citi,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-05-29,Investor interaction arranged by Kotak,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-05-30,Investor interaction arranged by Kotak,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-06-02,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-06-02,Disclosure regarding investors meeting - Update,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-06-04,Disclosure regarding outcome of investors interaction arranged by BNP Paribas,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-06-05,Outcome of investor interaction arranged by BNP Paribas,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-06-11,Investor interaction organised by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-06-11,Investor interaction organised by Nuvama,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-06-11,Investor interaction organised by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-06-13,Proceedings of General Meeting held on 13.06.2025,BSE,Shareholder Meeting / Postal Ballot-Outcome of EGM
2025-06-13,Proceedings of 70th AGM,BSE,Shareholder Meeting / Postal Ballot-Outcome of AGM
2025-06-16,Scrutiniser Report and Voting Results of General Meeting,BSE,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report"
2025-06-16,Scrutiniser Report and Voting Results of General Meeting held on 13.06.2025,BSE,Shareholder Meeting / Postal Ballot-Outcome of EGM
2025-06-16,Scrutinizer Report and Voting Results of AGM,BSE,Shareholder Meeting / Postal Ballot-Scrutinizer''s Report
2025-06-17,Investor interaction arranged by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-06-18,Divestment in Jio Payments Bank Limited,BSE,Divestment In Jio Payments Bank Limited
2025-06-18,Investor interaction arranged by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-06-19,Investor interaction arranged by Jefferies,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-06-20,Investor interaction arranged by Nuvama,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-06-21,Investor interaction arranged by Nuvama,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-06-26,Closure of Trading window,BSE,Closure of Trading Window
2025-06-26,Sustainability Report FY 2025 with GRI logo,BSE,Business Responsibility and Sustainability Reporting (BRSR)
2025-07-10,"State Bank Of Indiahas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 16/07/2025 ,inter alia, to consider and approve Raising funds during FY26 by ....",BSE,Board Meeting Intimation for Approval For Raising Funds During FY26 By Way Of Issuance Of Basel III Compliant Capital Bonds In INR.
2025-07-11,Sale of shares in Tamilnadu Telecommunications Limited,BSE,Sale Of Shares In Tamilnadu Telecommunications Limited
2025-07-11,"Certificate under Reg. 74(5) of SEBI (DP) Regulations, 2018",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2025-07-16,Committe Meeting Update on QIP,BSE,Committee Meeting Update On QIP
2025-07-16,Fund Raising by issue of Basel III compliant Additional Tier 1 and Tier 2 Bonds,BSE,Board Meeting Outcome for Fund Raising
2025-07-21,Allotment of Equity Shares to QIBs,BSE,Announcement under Regulation 30 (LODR)-Allotment
2025-07-21,Moody''s Rating,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2025-07-21,Outcome of meeting of Committee of Directors held on 21.07.2025,BSE,Committee Meeting Update On QIP
2025-07-23,Senior Management Update,BSE,Senior Management Update
2025-07-24,"State Bank Of Indiahas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 08/08/2025 ,inter alia, to consider and approve financial results for the quarter ....",BSE,Board Meeting Intimation for Considering Financial Results For The Quarter Ended 30.06.2025
2025-07-25,ESG Rating,BSE,ESG Rating
2025-07-25,Senior Management Update,BSE,Senior Management Update
2025-08-05,Details of Analyst / Investor Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-08-07,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-08-07,Investor interaction organized by Emkay Global Financial Services Ltd.,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-08-08,Press Release on Financial Results Q1FY26,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-08-08,Audio Recording of Analyst / Investors'' Interaction,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-08-08,Statement of Deviation and Variation,BSE,Statement Of Deviation And Variation
2025-08-08,Financial Results for the quarter ended 30.06.2025,BSE,Financial Results For The Quarter Ended 30.06.2025
2025-08-08,Analyst/Investor Presentation Q1FY26,BSE,Announcement under Regulation 30 (LODR)-Investor Presentation
2025-08-11,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-08-12,"Investor interaction arranged by Emkay Global
Financial Services Limited.",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-08-12,Investor interaction organized by ICICI Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-08-15,Upgrade in Credit Rating,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2025-08-16,Transcript of Analyst Meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-08-18,Investor interaction arranged by ICICI Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-08-19,Investor interaction arranged by ICICI Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-08-20,"Order of Add. Superintendent of Stamps, Gandhinagar",BSE,"Order Of Add. Superintendent Of Stamps, Gandhinagar"
2025-08-22,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-08-28,Investor interaction organised by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-08-30,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-09-02,Investor interaction organised by CLSA,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-09-02,Conclusion of Raising of Bonds under Regulation S,BSE,RAISING OF SENIOR/ UNSECURED/ FIXED RATE / REG S BOND
2025-09-02,Investor interaction organised by BofA,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-09-03,investor interaction arranged by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-09-04,Investor interaction arranged by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-09-09,Investor interaction arranged by Bank of America in Hong Kong,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-09-09,Investor interaction arranged by CLSA at Hong Kong,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-09-15,Investor interaction organised by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-09-16,Investor interaction organised by J. P. Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-09-17,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-09-17,Divestment of stake in Yes Bank Limited,BSE,Divestment Of Stake In Yes Bank Limited (YBL) By State Bank Of India (SBI) To Sumitomo Mitsui Banking Corporation (SMBC)
2025-09-18,Investor interaction arranged by J. P. Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-09-18,Investor interaction arranged by Morgan Stanely,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-09-22,investor interaction arranged by J P Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-09-24,Investor interaction arranged by J P Morgan,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-09-29,Closure of Trading Window from 1st October 2025,BSE,Closure of Trading Window
2025-10-07,Newspaper Publication regarding special window for re-lodgement of transfer request of physical shares of SBI,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-10-09,Newspaper Publication regarding 100 days campaign - Saksham Viveshak,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-10-14,Disclosure regarding Ratings received from ICRA Limited and CARE Ratings Limited,BSE,Announcement under Regulation 30 (LODR)-Credit Rating
2025-10-14,"Certificate under Reg.74(5) of SEBI (DP) Regulations, 2018",BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2025-10-17,Tier 2 Bond raising - Bidding Updates,BSE,Tier 2 Bond Raising - Bidding Updates
2025-10-17,Press Release - Tier 2 Bond Issuance,BSE,Press Release - Tier 2 Bond Issuance
2025-10-18,"State Bank Of Indiahas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 04/11/2025 ,inter alia, to consider and approve financial results for the quarter ....",BSE,Board Meeting Intimation for Considering Financial Results For The Quarter Ended 30.09.2025
2025-10-20,Disclosure regarding allotment of Bonds,BSE,Announcement under Regulation 30 (LODR)-Allotment
2025-10-29,Analyst Meet post Q2FY26 Results,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-10-30,Update on analyst meet,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-10-31,Change in Senior Management,BSE,Announcement under Regulation 30 (LODR)-Change in Management
2025-11-04,Financial Results for the quarter and half year ended 30.09.2025,BSE,Financial Results For The Quarter And Half Year Ended 30.09.2025
2025-11-04,Analysts Presentation,BSE,Announcement under Regulation 30 (LODR)-Investor Presentation
2025-11-04,Audio Recording of Post Earning Investor / Analyst Meeting,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-11-04,Statement of deviation or variation,BSE,Statement Of Deviation Or Variation
2025-11-04,Press Release Q2FY26 Results,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-11-06,Sale of stake in SBI Funds Management Limited through IPO,BSE,Sale Of Stake In SBI Funds Management Limited Through IPO
2025-11-06,Newspaper Publication,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-11-06,Analysts meet organised ICICI Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-11-06,Press Release on sale of stake in SBI Funds Management Limited through IPO,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2025-11-11,Investors interaction arranged by ICICI Securities,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-11-12,Investor interaction organised by CLSA,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-11-12,Acquisition of stake in CareEdge Global IFSC Limited,BSE,Announcement under Regulation 30 (LODR)-Acquisition
2025-11-12,Investors interaction organised by HSBC,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-11-12,Investors interaction organised by Morgan Stanley,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2025-11-12,Transcript of Analyst Meet (Q2FY26) held on 04.11.2025,BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
2025-11-13,Acquisition of stake in Raajmarg Infra Investment Managers Pvt. Ltd.,BSE,Announcement under Regulation 30 (LODR)-Acquisition
2025-11-15,Newspaper Publications regarding transfer of shares to IEPF,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2025-11-15,Change in Statutory Central Auditors of the Bank,BSE,Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s
